numero_cta,nivel,tipo_cta,nombre
51020000,3,5,COSTOS INDIRECTOS PRODUCCION
51020101,4,5,SUELDOS Y JORNALES
51020102,4,5,HORAS EXTRAS
51020103,4,5,REGALIA PASCUAL
51020106,4,5,PAGOS TEMPOREROS
51020202,4,5,VACACIONES
51020203,4,5,A.R.S.
51020204,4,5,A.F.P.
51020205,4,5,RIESGO DE SALUD
51020206,4,5,INFOTEP
51020207,4,5,SEGUROS SOCIAL
51020207-00,5,5,SEGUROS SOCIAL GENERAL
51020208,4,5,PRESTACIONES LABORALES
51020208-00,5,5,PRESTACIONES LABORALES GENERAL
51020210,4,5,SEGURO FAMILIAR DE SALUD
51020301,4,5,SEGUROS MEDICO Y DE VIDA
51020302,4,5,GASTOS COMEDOR EMPLEADOS
51020304,4,5,ATENCION FUNCIONARIOS Y EMP.
51020305,4,5,RECLUTAMIENTO Y SELECCION
51020306,4,5,BONO VACACIONAL
51020307,4,5,SEGURO MEDICO (OBREROS)
51020308,4,5,AYUDAS Y REGALOS AL PERSONAL
51020309,4,5,ACTIVIDADES CON EL PERSONAL
51020310,4,5,AUSENCIAS PAGADAS
51020311,4,5,TRANSPORTE AL PERSONAL
51020401,4,5,CAPACITACION Y ENTRENAMIENTO INTERN
51020402,4,5,CAPACITACION Y ENTRENAMIENTO EXTERN
51020403,4,5,CONVENCIONES Y REUNIONES DE TRABAJO
51020501,4,5,ALQUILER EDIFICIO
51020502,4,5,ALQUILER VEHICULOS Y/O MOVIL
51020504,4,5,ALQUILER DE EQUIPOS
51020505,4,5,OTROS ALQUILERES
51020519,4,5,VACACIONES
51020601,4,5,SEGUROS INCENDIOS Y ALIADOS
51020602,4,5,SEGUROS DE VEHICULOS
51020603,4,5,SEGUROS RESPONSABILIDAD CIVIL
51020701,4,5,ENERGIA ELECTRICA
51020702,4,5,COMBUSTIBLES Y LUBRICANTES
51020801,4,5,AGUA
51020802,4,5,BASURA
51020901,4,5,TELEFONOS
51020904,4,5,CORREO Y CURRIER
51021001,4,5,VIGILANCIA Y P.PERSONA MORALES
51021002,4,5,VIGILANCIA PERSONA FISICA
51021301,4,5,VIAJES Y REPRESENTACION LOCAL
51021302,4,5,VIAJES Y REPRESENTACION EXTERIOR
51021401,4,5,COMBUSTIBLES
51021402,4,5,REPARACIONES DE VEHICULOS
51021403,4,5,MANTENIMIENTOS DE VEHICULOS
51021404,4,5,IMPUESTOS, PLACAS Y REVISTAS
51021405,4,5,VEHICULOS DEL PERSONAL
51021499,4,5,OTROS GASTOS DE VEHICULOS
51021702,4,5,TRANSPORTE DE VALIJA
51021999,4,5,ITBIS POR SERVICIOS
51022001,4,5,MATERIALES DE OFICINA
51022002,4,5,IMPRESOS
51022003,4,5,MATERIAL TECNICO (IT)
51022004,4,5,PROGRAMAS
51022101,4,5,ALMACENAMIENTO DE INVENTARIO
51022102,4,5,GASTOS DE PALETAS
51022103,4,5,COMBUSTIBLES MONTACARGAS
51022104,4,5,OTROS GASTOS DE ALMACEN
51022202,4,5,MANO DE OBRA TERCERO-EDIFICIO
51022203,4,5,MANO DE OBRA TERCERO-MAQUINARIA Y E
51022204,4,5,MANO DE OBRA TERCERO-MOBILIARIO Y U
51022205,4,5,MANO DE OBRA TERCERO-TECNOLOGIA DE
51022207,4,5,MATERIALES EDIFICIO
51022208,4,5,MATERIALES MAQUINARIA Y EQUIPO
51022209,4,5,MATERIALES MOBILIARIO Y UTILES
51022210,4,5,MATERIALES TECNOLOGIA DE INFORMACIO
51022212,4,5,MANO DE OBRA PROPIA-EDIFICIO
51022213,4,5,MANO DE OBRA PROPIA-MAQUINARIA Y EQ
51022214,4,5,MANO DE OBRA PROPIA-MOBILIARIO Y UT
